Datadase	Asscession	Known/Putative? 	Datadase	Asscession	Known/Putative? 	Datadase	Asscession	Known/Putative? 
Enzyme Commission	2.4.1.288	Putative	KEGG	K16343	Putative	Pfam	PF04387	Putative
Enzyme Commission	2.4.1.289	Putative	KEGG	K14621	Putative	Pfam	PF04447	Putative
Enzyme Commission	2.4.1.290	Putative	KEGG	K16817	Putative	Pfam	PF04464	Putative
Enzyme Commission	2.4.1.291	Putative	KEGG	K01058	Putative	Pfam	PF04499	Putative
Enzyme Commission	2.4.1.303	Putative	KEGG	K13510	Putative	Pfam	PF04587	Putative
Enzyme Commission	2.4.1.304	Putative	KEGG	K13512	Putative	Pfam	PF04608	Putative
Enzyme Commission	2.4.1.305	Putative	KEGG	K13515	Putative	Pfam	PF04637	Putative
Enzyme Commission	2.4.1.306	Putative	KEGG	K16818	Putative	Pfam	PF04667	Putative
Enzyme Commission	2.4.1.308	Putative	KEGG	K22389	Putative	Pfam	PF04674	Putative
Enzyme Commission	2.4.1.309	Putative	KEGG	K06900	Putative	Pfam	PF04767	Putative
Enzyme Commission	2.4.1.319	Putative	KEGG	K06128	Putative	Pfam	PF04802	Putative
Enzyme Commission	2.4.1.320	Putative	KEGG	K06129	Putative	Pfam	PF04846	Putative
Enzyme Commission	2.4.1.321	Putative	KEGG	K06130	Putative	Pfam	PF04868	Putative
Enzyme Commission	2.4.1.329	Putative	KEGG	K13333	Putative	Pfam	PF04916	Putative
Enzyme Commission	2.4.1.332	Putative	KEGG	K01048	Putative	Pfam	PF04979	Putative
Enzyme Commission	2.4.1.333	Putative	KEGG	K14676	Putative	Pfam	PF04987	Putative
Enzyme Commission	2.4.1.334	Putative	KEGG	K18695	Putative	Pfam	PF05116	Putative
Enzyme Commission	2.4.1.335	Putative	KEGG	K18696	Putative	Pfam	PF05189	Putative
Enzyme Commission	2.4.1.339	Putative	KEGG	K01126	Putative	Pfam	PF05278	Putative
Enzyme Commission	2.4.1.340	Putative	KEGG	K00623	Putative	Pfam	PF05361	Putative
Enzyme Commission	2.4.1.342	Putative	KEGG	K01049	Putative	Pfam	PF05395	Putative
Enzyme Commission	2.4.1.343	Putative	KEGG	K00866	Putative	Pfam	PF05506	Putative
Enzyme Commission	2.4.1.345	Putative	KEGG	K14156	Putative	Pfam	PF05719	Putative
Enzyme Commission	2.4.1.346	Putative	KEGG	K06124	Putative	Pfam	PF05770	Putative
Enzyme Commission	2.4.1.347	Putative	KEGG	K00968	Putative	Pfam	PF05826	Putative
Enzyme Commission	2.4.1.348	Putative	KEGG	K00993	Putative	Pfam	PF05845	Putative
Enzyme Commission	2.4.1.349	Putative	KEGG	K05939	Putative	Pfam	PF05861	Putative
Enzyme Commission	2.4.1.352	Putative	KEGG	K25193	Putative	Pfam	PF05881	Putative
Enzyme Commission	2.4.1.355	Putative	KEGG	K00894	Putative	Pfam	PF05889	Putative
Enzyme Commission	2.4.1.356	Putative	KEGG	K00967	Putative	Pfam	PF05913	Putative
