SampleID,Plot,Gradient,Elevation_est,Elev_cat,Elevation_m,Date,SSU_SID,metaG_SID,metaG_SID2,Week,DayofYear,GWC,SOC.percent,pH,phosphate.g.g-1,NH4.ug.g-1,AM_hyphal_length_mm g-1,MBC.g.kg,sand.percent,silt.percent,clay.percent,texture_class,bulk_density,Lat,Long
R_29_wk_2.5,R_29,R,2900,low,2945,7/13/18,RMBL_DOESnowmelt_R29_713,NA,NA,2.5,194,0.17,1.48,5.91,,0.24,,8.38,,,,clay loam,,38.856165,-107.06954
R_29_wk_3,R_29,R,2900,low,2945,7/16/18,NA,NA,NA,3,197,0.11,1.91,5.79,,3.04,,,,,,clay loam,0.8,38.856165,-107.06954
R_29_wk_4,R_29,R,2900,low,2945,7/22/18,RMBL_DOESnowmelt_R29_722,NA,NA,4,203,0.04,1.63,6.05,14.85,7.38,,,,,,clay loam,1.15,38.856165,-107.06954
R_29_wk_5,R_29,R,2900,low,2945,7/31/18,RMBL_DOESnowmelt_R29_731,NA,NA,5,212,0.06,1.45,6.1,,11.38,,31.36,,,,clay loam,1.14,38.856165,-107.06954
Teo_29_wk_1,Teo_29,Teo,2900,low,2947.52,7/2/18,RMBL_DOESnowmelt_TEO29_702,NA,NA,1,183,0.04,1.39,6.56,7.6,1.8,3644.17963,9.62,50,16.67,33.33,sandy clay loam,0.92,38.9287655,-106.87845
Teo_29_wk_2,Teo_29,Teo,2900,low,2947.52,7/9/18,RMBL_DOESnowmelt_TEO29_709,NA,NA,2,190,0.07,1.94,6.09,5.97,10.65,3432.02868,9.06,,,,sandy clay loam,1.01,38.9287655,-106.87845
Teo_29_wk_3,Teo_29,Teo,2900,low,2947.52,7/16/18,RMBL_DOESnowmelt_TEO29_717,NA,NA,3,197,0.15,1.69,5.84,,5.02,4678.763,8.27,,,,sandy clay loam,0.66,38.9287655,-106.87845
Teo_29_wk_4,Teo_29,Teo,2900,low,2947.52,7/22/18,RMBL_DOESnowmelt_TEO29_722,NA,NA,4,203,0.04,1.28,6.17,4.58,,3276.45891,,,,,sandy clay loam,0.98,38.9287655,-106.87845
Teo_29_wk_5,Teo_29,Teo,2900,low,2947.52,7/31/18,RMBL_DOESnowmelt_TEO29_731,NA,NA,5,212,0.06,0.99,6.27,,10.23,2466.05282,26.12,,,,sandy clay loam,1.26,38.9287655,-106.87845
Teo_29_wk_5,Teo_29,Teo,2900,low,2947.52,8/4/18,RMBL_DOESnowmelt_TEO29_804,NA,NA,5,216,0.05,0.95,,,14.49,,8,,,,sandy clay loam,,38.9287655,-106.87845
TR_29_wk_2,TR_29,TR,2900,low,2971.83,7/9/18,RMBL_DOESnowmelt_TR29_709,3300041785,Ga0450695,2,190,0.13,1.65,5.92,17.77,3.62,3903.83038,14.88,,,,clay loam,0.97,38.9725825,-107.06186
TR_29_wk_3,TR_29,TR,2900,low,2971.83,7/16/18,RMBL_DOESnowmelt_TR29_717,3300041801,Ga0450713,3,197,0.19,2.06,6.03,7.2,0.64,2779.42467,,,,,clay loam,0.6,38.9725825,-107.06186
TR_29_wk_4,TR_29,TR,2900,low,2971.83,7/23/18,RMBL_DOESnowmelt_TR29_723,3300041817,Ga0450731,4,204,0.1,2.06,6.26,15.98,28.87,2468.11384,8.37,,,,clay loam,0.87,38.9725825,-107.06186
TR_29_wk_5,TR_29,TR,2900,low,2971.83,7/31/18,RMBL_DOESnowmelt_TR29_731,3300041839,Ga0450749,5,212,0.08,1.78,6.46,,18.56,2153.80646,,,,,clay loam,1,38.9725825,-107.06186
TR_29_wk_1,TR_29,TR,2900,low,2971.83,7/2/18,RMBL_DOESnowmelt_TR29_702,NA,NA,1,183,0.04,2.15,6.35,13.79,1.78,2492.93246,56.73,30.72,32.99,36.29,clay loam,0.94,38.9725825,-107.06186
R_31_wk_2.5,R_31,R,3100,mid,3128.25,7/13/18,RMBL_DOESnowmelt_R31_713,NA,NA,2.5,194,0.1,0.94,5.98,1.74,0.34,,,,,,,,38.874205,-107.10598
A_31_wk_2,A_31,A,3100,mid,3134.76,7/8/18,RMBL_DOESnowmelt_A31_708,3300041777,Ga0450684,2,189,0.09,2.49,6.57,3.83,3.96,1306.94573,24.7,33.55,16.61,49.83,clay,0.77,38.9659359,-106.98281
A_31_wk_3,A_31,A,3100,mid,3134.76,7/15/18,RMBL_DOESnowmelt_A31_717,3300041791,Ga0450702,3,196,0.15,2.74,6.44,3.97,1.73,3664.89214,19.77,35.11,19.47,45.43,clay,0.74,38.9659359,-106.98281
A_31_wk_4,A_31,A,3100,mid,3134.76,7/22/18,RMBL_DOESnowmelt_A31_722,3300041807,Ga0450720,4,203,0.05,2.28,6.55,8.87,9.95,3552.30683,,35.46,16.13,48.4,clay,0.95,38.9659359,-106.98281
